RTT,cwnd
602,2
603,3
604,4
605,5
606,6
607,7
608,8
609,9
610,10
611,11
612,12
613,13
614,14
615,15
616,16
617,17
618,18
619,19
620,20
621,21
622,22
623,23
624,24
625,25
626,26
627,27
628,28
629,29
630,30
631,1
632,2
633,3
634,2
635,3
636,4
637,5
638,6
639,7
640,8
641,9
642,10
643,11
644,12
645,13
646,14
647,15
648,16
649,17
650,18
651,19
652,20
653,21
654,22
655,2
656,3
657,4
658,5
659,6
660,7
661,8
662,9
663,10
664,11
665,12
666,13
667,14
668,15
669,16
670,17
671,18
672,19
673,20
674,21
675,22
676,23
677,24
678,1
679,2
680,3
681,4
682,5
683,6
684,2
685,3
686,4
687,5
688,6
689,7
690,8
691,9
692,10
693,11
694,12
695,13
696,14
697,15
698,16
699,17
700,18
701,19
702,20
703,21
704,2
705,3
706,4
707,5
708,6
709,7
710,8
711,9
712,3
713,4
714,5
715,6
716,7
717,8
718,9
719,10
720,11
721,12
722,3
723,4
724,5
725,6
726,7
727,8
728,9
729,10
730,11
731,12
732,13
733,14
734,15
735,3
736,4
737,5
738,6
739,1
740,1
741,1
742,2
743,3
744,4
745,5
746,6
747,7
748,8
749,9
750,10
751,11
752,12
753,13
754,14
755,15
756,16
757,17
758,18
759,19
760,20
761,21
762,3
763,4
764,5
765,6
766,7
767,8
768,9
769,10
770,11
771,3
772,1
773,2
774,3
775,4
776,5
777,6
778,7
779,8
780,9
781,10
782,11
783,12
784,1
785,2
786,3
787,4
788,5
789,6
790,7
791,8
792,9
793,10
794,2
795,3
796,4
797,5
798,6
799,7
800,8
801,9
802,10
803,11
804,12
805,1
806,2
807,3
808,4
809,5
810,6
811,7
812,8
813,9
814,10
815,11
816,12
817,13
818,14
819,15
820,1
821,2
822,3
823,4
824,5
825,6
826,1
827,2
828,1
829,2
830,1
831,1
832,1
833,1
834,2
835,3
836,4
837,5
838,6
839,7
840,8
841,9
842,10
843,11
844,12
845,13
846,14
847,3
848,4
849,5
850,6
851,7
852,1
853,2
854,3
855,4
856,5
857,6
858,7
859,8
860,9
861,3
862,4
863,5
864,6
865,7
866,8
867,9
868,10
869,11
870,2
871,3
872,4
873,5
874,6
875,7
876,8
877,9
878,10
879,11
880,12
881,13
882,2
883,3
884,4
885,1
886,2
887,3
888,4
889,5
890,1
891,2
892,3
893,4
894,5
895,6
896,3
897,4
898,5
899,6
900,2
901,1
902,2
903,3
904,4
905,5
906,6
907,7
908,8
909,9
910,10
911,11
912,12
913,13
914,14
915,15
916,16
917,17
918,18
919,19
920,20
921,21
922,22
923,2
924,3
925,4
926,5
927,6
928,7
929,8
930,9
931,1
932,2
933,1
934,2
935,3
936,4
937,5
938,6
939,7
940,8
941,9
942,10
943,11
944,12
945,13
946,14
947,15
948,16
949,17
950,18
951,19
952,20
953,21
954,22
955,23
956,24
957,25
958,26
959,27
960,28
961,29
962,30
963,31
964,32
965,33
966,3
967,4
968,5
969,6
970,7
971,8
972,9
973,10
974,11
975,12
976,13
977,14
978,15
979,16
980,17
981,18
982,19
983,1
984,2
985,1
986,2
987,1
988,2
989,3
990,4
991,5
992,6
993,7
994,8
995,9
996,10
997,11
998,12
999,13
1000,14
1001,15
1002,16
1003,17
1004,18
1005,19
1006,20
1007,21
1008,22
1009,23
1010,24
1011,25
1012,26
1013,27
1014,28
1015,3
1016,4
1017,5
1018,6
1019,7
1020,8
1021,9
1022,1
1023,2
1024,3
