RTT,cwnd
1,1
2,1
3,1
4,2
5,3
6,4
7,5
8,2
9,3
10,4
11,5
12,6
13,7
14,8
15,9
16,11
17,12
18,13
19,14
20,15
21,16
22,17
23,18
24,19
25,20
26,21
27,22
28,23
29,24
30,25
31,26
32,27
33,3
34,4
35,5
36,2
37,3
38,1
39,2
40,3
41,4
42,5
43,6
44,7
45,8
46,9
47,10
48,11
49,12
50,13
51,14
52,15
53,16
54,17
55,1
56,2
57,3
58,4
59,5
60,6
61,7
62,8
63,9
64,10
65,11
66,3
67,4
68,5
69,6
70,7
71,8
72,9
73,1
74,1
75,2
76,3
77,1
78,2
79,1
80,1
81,2
82,3
83,4
84,1
85,1
86,2
87,1
88,2
89,3
90,4
91,5
92,2
93,3
94,4
95,5
96,6
97,7
98,8
99,9
100,11
101,12
102,13
103,14
104,15
105,16
106,17
107,3
108,4
109,5
110,6
111,7
112,8
113,9
114,10
115,11
116,12
117,13
118,14
119,1
120,2
121,3
122,4
123,5
124,1
125,2
126,3
127,4
128,1
129,2
130,3
131,4
132,5
133,6
134,7
135,8
136,9
137,10
138,11
139,12
140,13
141,14
142,15
143,16
144,17
145,18
146,19
147,20
148,21
149,22
150,23
151,24
152,25
153,26
154,27
155,28
156,29
157,30
158,31
159,32
160,33
161,34
162,35
163,36
164,37
165,38
166,39
167,40
168,41
169,42
170,43
171,44
172,45
173,46
174,47
175,48
176,1
177,2
178,3
179,4
180,5
181,6
182,7
183,8
184,9
185,1
186,2
187,3
188,4
189,5
190,6
191,7
192,1
193,2
194,3
195,1
196,2
197,3
198,4
199,5
200,6
201,7
202,8
203,9
204,10
205,11
206,12
207,13
208,14
209,15
210,16
211,17
212,18
213,19
214,20
215,21
216,22
217,23
218,24
219,25
220,2
221,3
222,4
223,5
224,6
225,7
226,8
227,9
228,10
229,11
230,12
231,13
232,14
233,15
234,16
235,1
236,2
237,3
238,1
239,2
240,3
241,4
242,5
243,6
244,7
245,8
246,9
247,10
248,11
249,3
250,4
251,5
252,1
253,2
254,1
255,2
256,3
257,4
258,5
259,6
260,7
261,8
262,9
263,10
264,11
265,12
266,13
267,14
268,15
269,16
270,17
271,18
272,19
273,20
274,21
275,22
276,23
277,24
278,25
279,26
280,27
281,28
282,29
283,30
284,31
285,32
286,33
287,34
288,2
289,3
290,4
291,5
292,6
293,7
294,8
295,9
296,10
297,11
298,12
299,13
300,14
301,15
302,16
303,3
304,4
305,5
306,6
307,1
308,2
309,3
310,4
311,5
312,6
313,1
314,2
315,3
316,1
317,2
318,3
319,4
320,5
321,6
322,7
323,3
324,4
325,5
326,6
327,7
328,8
329,9
330,10
331,11
332,12
333,13
334,14
335,15
336,16
337,17
338,18
339,3
340,4
341,2
342,3
343,4
344,5
345,6
346,7
347,8
348,9
349,10
350,11
351,12
352,13
353,14
354,15
355,16
356,3
357,1
358,2
359,3
360,4
361,5
362,6
363,7
364,8
365,9
366,1
367,2
368,3
369,4
370,5
371,6
372,7
373,8
374,9
375,10
376,11
377,2
378,3
379,4
380,5
381,6
382,7
383,8
384,9
385,10
386,11
387,12
388,13
389,14
390,15
391,1
392,2
393,3
394,4
395,5
396,6
397,7
398,2
399,3
400,4
401,5
402,1
403,2
404,3
405,4
406,5
407,6
408,7
409,8
410,9
411,10
412,11
413,12
414,13
415,14
416,15
417,16
418,2
419,3
420,4
421,5
422,6
423,7
424,1
425,2
426,3
427,4
428,5
429,6
430,7
431,8
432,3
433,4
434,5
435,6
436,7
437,2
438,3
439,4
440,5
441,6
442,7
443,8
444,9
445,10
446,11
447,2
448,3
449,4
450,5
451,6
452,7
453,8
454,9
455,10
456,11
457,12
458,13
459,14
460,15
461,1
462,2
463,3
464,4
465,5
466,6
467,7
468,8
469,9
470,10
471,11
472,12
473,13
474,14
475,15
476,16
477,17
478,18
479,20
480,21
481,22
482,23
483,24
484,25
485,26
486,27
487,28
488,29
489,3
490,4
491,1
492,1
493,2
494,1
495,2
496,3
497,4
498,5
499,1
500,2
501,3
502,4
503,5
504,1
505,2
506,1
507,1
508,2
509,3
510,1
511,2
512,3
513,4
514,5
515,6
516,7
517,8
518,9
519,10
520,11
521,12
522,13
523,14
524,15
525,16
526,17
527,18
528,19
529,20
530,21
531,22
532,23
533,24
534,25
535,26
536,27
537,28
538,1
539,2
540,3
541,4
542,5
543,6
544,7
545,8
546,9
547,10
548,11
549,12
550,13
551,14
552,15
553,16
554,17
555,18
556,19
557,20
558,21
559,22
560,23
561,24
562,25
563,26
564,27
565,28
566,29
567,30
568,31
569,3
570,4
571,5
572,6
573,7
574,2
575,3
576,4
577,2
578,3
579,4
580,5
581,1
582,2
583,3
584,4
585,1
586,2
587,3
588,4
589,5
590,6
591,7
592,8
593,9
594,10
595,11
596,12
597,13
598,3
599,4
600,5
601,1
